playerID,name,total_war,war_2002,war_2003
111188,"Bonds, Barry",22.9,12.7,10.2
121347,"Rodriguez, Alex",19.2,10.0,9.2
405395,"Pujols, Albert",14.9,5.4,9.5
113744,"Edmonds, Jim",13.0,6.7,6.3
121409,"Rolen, Scott",12.7,6.5,6.2
136860,"Beltran, Carlos",12.3,5.4,6.9
115732,"Helton, Todd",12.1,5.5,6.6
122111,"Sheffield, Gary",12.1,4.8,7.3
204020,"Berkman, Lance",12.1,6.1,6.0
114739,"Giambi, Jason",11.6,6.6,5.0
123272,"Thome, Jim",11.6,7.3,4.3
114789,"Giles, Brian",11.5,6.9,4.6
116662,"Jones, Andruw",11.5,6.3,5.2
111214,"Boone, Bret",11.3,3.9,7.4
120903,"Ramirez, Manny",11.1,5.3,5.8
110029,"Abreu, Bobby",10.8,5.2,5.6
111904,"Cameron, Mike",10.8,5.5,5.3
150093,"Soriano, Alfonso",10.7,5.6,5.1
114596,"Garciaparra, Nomar",10.6,4.8,5.8
400085,"Suzuki, Ichiro",10.4,4.7,5.7
121074,"Renteria, Edgar",10.4,4.1,6.3
120691,"Posada, Jorge",10.2,4.2,6.0
115223,"Guerrero, Vladimir",10.1,7.1,3.0
116999,"Kent, Jeff",10.0,6.7,3.3
136731,"Koskie, Corey",10.0,5.1,4.9
116706,"Jones, Chipper",9.8,5.9,3.9
136767,"Chavez, Eric",9.8,5.7,4.1
113232,"Delgado, Carlos",9.6,4.3,5.3
116539,"Jeter, Derek",9.3,5.2,4.1
120044,"Ordonez, Magglio",9.1,4.5,4.6
114935,"Gonzalez, Luis",9.0,5.2,3.8
117276,"Kotsay, Mark",9.0,4.9,4.1
110236,"Anderson, Garret",8.8,3.7,5.1
123833,"Walker, Larry",8.6,5.4,3.2
110432,"Bagwell, Jeff",8.5,4.8,3.7
133160,"Winn, Randy",8.2,4.6,3.6
206551,"Mora, Melvin",8.0,3.0,5.0
123173,"Tejada, Miguel",7.9,4.5,3.4
122544,"Sosa, Sammy",7.9,5.1,2.8
121358,"Rodriguez, Ivan",7.8,3.3,4.5
116338,"Hunter, Torii",7.7,4.2,3.5
119811,"Nixon, Trot",7.7,2.7,5.0
114135,"Finley, Steve",7.6,4.2,3.4
123723,"Vidro, Jose",7.5,4.3,3.2
279578,"Giles, Marcus",7.5,0.8,6.7
112116,"Castillo, Luis",7.4,2.5,4.9
123610,"Valentin, Jose",7.4,3.5,3.9
117601,"Lee, Derrek",7.3,3.5,3.8
120191,"Palmeiro, Rafael",7.2,4.5,2.7
134181,"Beltre, Adrian",7.2,4.0,3.2
117919,"Lopez, Javy",7.0,0.2,6.8
119482,"Mueller, Bill",6.9,2.2,4.7
113028,"Damon, Johnny",6.8,4.4,2.4
135784,"Polanco, Placido",6.8,2.9,3.9
136780,"Lowell, Mike",6.8,2.7,4.1
150218,"Jones, Jacque",6.8,5.0,1.8
115094,"Green, Shawn",6.7,4.9,1.8
279577,"Furcal, Rafael",6.7,2.7,4.0
117863,"Lofton, Kenny",6.7,2.8,3.9
