playerID,name,gamesPlayed,wins,losses,strikeouts,walks,inningsPitched,hits,homeRuns,earnedRuns,era,whip,saves
542960,Brad Brach,27,1,2,22,9,23.2,22,1,4,1.52,1.31,1
656977,Chad Sobotka,14,1,0,21,9,14.1,5,2,3,1.88,0.98,0
527055,Arodys Vizcaíno,39,2,2,40,15,38.1,30,4,9,2.11,1.17,16
434671,Aníbal Sánchez,25,7,6,135,42,136.2,106,15,43,2.83,1.08,0
592314,Mike Foltynewicz,31,13,10,202,68,183.0,130,17,58,2.85,1.08,0
641438,Shane Carle,53,4,1,43,27,63.0,50,2,20,2.86,1.22,1
592332,Kevin Gausman,10,5,3,44,18,59.2,50,5,19,2.87,1.14,0
608331,Max Fried,14,1,4,44,20,33.2,26,3,11,2.94,1.37,0
592145,Jesse Biddle,60,6,1,67,31,63.2,50,6,22,3.11,1.27,1
621345,A.J. Minter,65,4,3,69,22,61.1,57,3,22,3.23,1.29,15
595465,Dan Winkler,69,4,0,69,20,60.1,52,3,23,3.43,1.19,2
647336,Michael Soroka,5,2,1,21,7,25.2,30,1,10,3.51,1.44,0
458924,Jonny Venters,28,4,1,16,10,20.1,15,0,8,3.54,1.23,2
656794,Sean Newcomb,31,12,9,160,81,164.0,137,18,71,3.90,1.33,0
527054,Julio Teheran,31,9,9,162,84,175.2,122,26,77,3.94,1.17,0
657053,Touki Toussaint,7,2,1,32,21,29.0,18,1,13,4.03,1.34,0
518693,Sam Freeman,63,3,5,58,32,50.1,41,3,24,4.29,1.45,0
592426,Luke Jackson,35,1,2,46,21,40.2,41,3,20,4.43,1.52,1
493247,Peter Moylan,39,0,1,23,18,28.1,32,4,14,4.45,1.76,0
657140,Kyle Wright,4,0,0,5,6,6.0,4,2,3,4.50,1.67,0
435221,Brandon McCarthy,15,6,3,65,21,78.2,94,15,43,4.92,1.46,0
605538,Matt Wisler,7,1,1,21,5,26.2,30,6,16,5.40,1.31,0
627894,Luiz Gohara,9,0,1,18,8,19.2,16,3,13,5.95,1.22,1
502051,Josh Ravin,2,0,1,1,2,3.0,2,0,2,6.00,1.33,0
669060,Bryse Wilson,3,1,0,6,6,7.0,8,0,5,6.43,2.00,0
641149,Wes Parsons,1,0,1,3,3,5.0,6,1,4,7.20,1.80,0
608371,Lucas Sims,6,0,0,10,8,10.1,12,2,9,7.84,1.94,0
623465,Evan Phillips,4,0,0,3,4,6.1,6,3,6,8.53,1.58,0
518586,Charlie Culberson,1,0,0,0,0,1.0,2,0,1,9.00,2.00,0
462515,Miguel Socolovich,4,0,1,4,2,5.0,8,0,6,10.80,2.00,0
663465,Kolby Allard,3,1,1,3,4,8.0,19,3,11,12.38,2.88,0
542432,José Ramirez,7,0,2,7,8,6.1,9,0,12,17.05,2.68,0
607030,Adam McCreery,1,0,0,2,0,1.0,4,0,2,18.00,4.00,0
595032,Chase Whitley,1,0,0,1,1,1.0,2,1,2,18.00,3.00,0
571521,Rex Brothers,1,0,0,0,2,0.0,0,0,1,-.--,-.--,0
